test_1|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition
test_2|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process
test_3|produced the block books, which were the immediate predecessors of the true printed book,
test_4|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
test_5|And it is worth mention in passing that, as an example of fine typography,
test_6|the earliest book printed with movable types, the Gutenberg, or "forty-two line Bible" of about 1455,
test_7|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.
test_8|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,
test_9|it is of the first importance that the letter used should be fine in form;
test_10|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters
